run_id,log,step,pos,p,k_rate
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,150,0,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,150,1,0.80,1.00
evidential_modelpred,results/run_modelpred_3b.log,0,0,0.50,0.85
evidential_modelpred,results/run_modelpred_3b.log,0,1,0.99,0.90
evidential_modelpred,results/run_modelpred_3b.log,25,0,0.50,0.70
evidential_modelpred,results/run_modelpred_3b.log,25,1,0.99,0.90
evidential_modelpred,results/run_modelpred_3b.log,50,0,0.50,0.75
evidential_modelpred,results/run_modelpred_3b.log,50,1,0.99,0.50
evidential_modelpred,results/run_modelpred_3b.log,75,0,0.50,0.70
evidential_modelpred,results/run_modelpred_3b.log,75,1,0.99,0.50
evidential_modelpred,results/run_modelpred_3b.log,100,0,0.50,0.65
evidential_modelpred,results/run_modelpred_3b.log,100,1,0.99,0.60
evidential_modelpred,results/run_modelpred_3b.log,125,0,0.50,0.80
evidential_modelpred,results/run_modelpred_3b.log,125,1,0.99,0.75
evidential_modelpred,results/run_modelpred_3b.log,150,0,0.50,0.75
evidential_modelpred,results/run_modelpred_3b.log,150,1,0.99,0.80
evidential_paired_cot,results/run_paired_cot.log,0,0,0.50,0.67
evidential_paired_cot,results/run_paired_cot.log,0,1,0.99,0.73
evidential_paired_cot,results/run_paired_cot.log,20,0,0.50,0.73
evidential_paired_cot,results/run_paired_cot.log,20,1,0.99,0.73
evidential_paired_cot,results/run_paired_cot.log,40,0,0.50,0.87
evidential_paired_cot,results/run_paired_cot.log,40,1,0.99,0.80
evidential_paired_cot,results/run_paired_cot.log,60,0,0.50,0.50
evidential_paired_cot,results/run_paired_cot.log,60,1,0.99,0.67
evidential_modelpred_r1_kl0,results/run_r1_kl0.log,0,0,0.50,0.50
evidential_modelpred_r1_kl0,results/run_r1_kl0.log,0,1,0.99,0.75
evidential_modelpred_r1_kl0,results/run_r1_kl0.log,10,0,0.50,0.50
evidential_modelpred_r1_kl0,results/run_r1_kl0.log,10,1,0.99,1.00
evidential_modelpred_r1_kl0,results/run_r1_kl0.log,20,0,0.50,0.25
evidential_modelpred_r1_kl0,results/run_r1_kl0.log,20,1,0.99,1.00
evidential_modelpred_r1_kl0,results/run_r1_kl0.log,30,0,0.50,0.25
evidential_modelpred_r1_kl0,results/run_r1_kl0.log,30,1,0.99,0.50
evidential_modelpred_r1_seed1,results/run_r1_seed1.log,0,0,0.50,0.50
evidential_modelpred_r1_seed1,results/run_r1_seed1.log,0,1,0.99,0.75
evidential_modelpred_r1_seed1,results/run_r1_seed1.log,10,0,0.50,1.00
evidential_modelpred_r1_seed1,results/run_r1_seed1.log,10,1,0.99,1.00
evidential_modelpred_r1_seed1,results/run_r1_seed1.log,20,0,0.50,0.75
evidential_modelpred_r1_seed1,results/run_r1_seed1.log,20,1,0.99,1.00
evidential_modelpred_r1_seed1,results/run_r1_seed1.log,30,0,0.50,1.00
evidential_modelpred_r1_seed1,results/run_r1_seed1.log,30,1,0.99,1.00
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,0,0,0.80,0.80
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,0,1,0.80,0.80
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,15,0,0.80,0.40
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,15,1,0.80,0.40
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,30,0,0.80,0.35
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,30,1,0.80,0.35
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,45,0,0.80,0.50
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,45,1,0.80,0.50
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,60,0,0.80,0.50
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,60,1,0.80,0.50
