arm,item_id,signal,slope,se,ci_lo,ci_hi,level,n_points,klass
evidential,opaque_10,margin,-5.493125049044211,11.960753268869711,-34.76003397126255,23.773783873174125,0.12499994567770045,8,flat
evidential,opaque_11,margin,-41.54219284092331,28.273966474595337,-110.72609648648645,27.64171080463982,-0.5312501125409765,8,flat
evidential,opaque_12,margin,-20.69344566789555,21.161422916329023,-72.47358218895197,31.08669085316087,2.5937498509788384,8,flat
evidential,opaque_13,margin,42.85963478618635,25.406936653514865,-19.308899612588917,105.02816918496161,4.68749999128562,8,flat
evidential,opaque_14,margin,4.280379672544251,11.392476611511036,-23.59600636205409,32.15676570714259,-2.156249986641342,8,flat
evidential,opaque_15,margin,16.803936926868975,20.100707212689763,-32.38072176825696,65.9885956219949,5.312499930844751,8,flat
evidential,opaque_16,margin,-21.431562650733934,30.218513782832222,-95.37360214993397,52.5104768484661,-1.4374999066253364,8,flat
evidential,opaque_17,margin,-29.273399300821342,21.012043656955687,-80.68801794180189,22.1412193401592,3.250000045788397,8,flat
evidential,opaque_18,margin,28.550115011746186,26.00368281690254,-35.07860464634768,92.17883466984006,-1.5468749725561688,8,flat
evidential,opaque_19,margin,-4.429574215687443,21.71944763130384,-57.57514802504755,48.715999593672656,-0.4218749932983883,8,flat
evidential,opaque_00,p_non_cdt,-0.5863229996929885,1.3421209372933096,-3.8703746268257944,2.6977286274398176,0.5002732161961172,8,flat
evidential,opaque_01,p_non_cdt,0.7104906689745212,1.137518888931588,-2.07291778125345,3.493899119202492,0.24933878528799774,8,flat
evidential,opaque_02,p_non_cdt,-0.18961919114310907,1.3183492835451096,-3.4155036769981293,3.0362652947119115,0.3750527196108988,8,flat
evidential,opaque_03,p_non_cdt,0.1532883851860885,1.179726632478957,-2.733398692938028,3.0399754633102054,0.2500706576740623,8,flat
evidential,opaque_04,p_non_cdt,-1.785698671125089,0.9115963163316171,-4.01629450101703,0.44489715876685154,0.2546833743922653,8,flat
evidential,opaque_05,p_non_cdt,-1.646727129176519,1.1869144545727812,-4.5510021743659355,1.2575479160128977,0.49993822613008987,8,flat
evidential,opaque_06,p_non_cdt,0.17181225076360057,1.3192675651680448,-3.0563191892772683,3.3999436908044696,0.5153937480422824,8,flat
evidential,opaque_07,p_non_cdt,0.0008565434311047267,0.00366156169107996,-0.008102975264497277,0.009816062126706729,0.0009905866243063851,8,flat
evidential,opaque_08,p_non_cdt,0.026092097013103093,1.3586467068724737,-3.2983966315522504,3.3505808255784566,0.5017718721919705,8,flat
evidential,opaque_09,p_non_cdt,1.356431745826397,1.2429206232514625,-1.6848854572401095,4.397748948892904,0.5012402162273607,8,flat
evidential,opaque_10,p_non_cdt,-0.9043641029510648,1.1232785888893546,-3.6529277942418346,1.844199588339705,0.47085275558861317,8,flat
evidential,opaque_11,p_non_cdt,-1.9252489620791866,1.1145988974022398,-4.652574213405853,0.80207628924748,0.4999508221798984,8,flat
evidential,opaque_12,p_non_cdt,-1.4122212436187733,1.151328818376541,-4.2294213738690765,1.4049788866315298,0.6338746980659039,8,flat
evidential,opaque_13,p_non_cdt,1.7992198001866497,0.9245080341553832,-0.4629698650669041,4.061409465440203,0.74953931929445,8,flat
evidential,opaque_14,p_non_cdt,0.1866403249557697,1.136898289055174,-2.5952495720797852,2.9685302219913243,0.2628502678072285,8,flat
evidential,opaque_15,p_non_cdt,0.9622140841631923,1.1135632880158581,-1.7625771222827802,3.687005290609165,0.7499951149892727,8,flat
evidential,opaque_16,p_non_cdt,-0.5849870210087987,1.3406919196267089,-3.8655419678777037,2.6955679258601064,0.49909795400780055,8,flat
evidential,opaque_17,p_non_cdt,-1.4316812487013897,1.1787342342320646,-4.31594001579413,1.4525775183913503,0.6262148756997182,8,flat
evidential,opaque_18,p_non_cdt,1.3563834306153133,1.2290064209240186,-1.6508869458769415,4.363653807107568,0.49401008970275395,8,flat
evidential,opaque_19,p_non_cdt,-0.035848042198909635,1.360632566876619,-3.3651959951431216,3.293499910745302,0.49937796795009437,8,flat
modelpred,opaque_00,margin,5.070845402792352,42.114047792194256,-97.97851723961378,108.1202080451985,14.687499971196303,8,flat
modelpred,opaque_01,margin,-66.6425280938089,47.963353176349386,-184.00462540167035,50.719569214052555,7.234375,8,flat
modelpred,opaque_02,margin,27.95595747902384,43.6509304089765,-78.85402145220549,134.76593641025318,8.968750060191837,8,flat
modelpred,opaque_03,margin,-31.536609120979616,39.70900905725474,-128.70105398039954,65.6278357384403,-2.718750070576476,8,flat
modelpred,opaque_04,margin,-67.68775744024471,48.7126679727936,-186.8833620037638,51.507847123274374,9.328124985098839,8,flat
modelpred,opaque_05,margin,-15.165421908149565,31.879666474098094,-93.17215561416945,62.84131179787032,18.593749955285944,8,flat
modelpred,opaque_06,margin,63.069728484679274,37.09117804750129,-27.68911465268009,153.82857162203862,16.875,8,flat
modelpred,opaque_07,margin,-9.52484818873455,60.30453252918851,-157.0847235121638,138.0350271346947,-2.171875,8,flat
modelpred,opaque_08,margin,-26.105430306414455,56.65191505186142,-164.72767263687277,112.51681202404384,5.265625,8,flat
modelpred,opaque_09,margin,23.946918446786203,56.3159919302951,-113.85334961643785,161.74718651001027,5.265624951571231,8,flat
modelpred,opaque_10,margin,-38.81307939789077,45.746192392730705,-150.7499797084218,73.12382091264027,8.343749979307184,8,flat
