item_id,p,repeat,p_non_cdt,margin,is_k
opaque_06,0.9,0,2.4616969512093895e-10,-22.125,0.0
opaque_06,0.99,0,1.4166087846364157e-09,-20.375,0.0
opaque_07,0.5,0,3.581747929000289e-10,-21.75,0.0
opaque_07,0.6,0,1.4166087846364157e-09,-20.375,0.0
opaque_07,0.7,0,3.160881453314576e-10,-21.875,0.0
opaque_07,0.75,0,1.0467401685178159e-08,-18.375,0.0
opaque_07,0.8,0,1.1032552420157046e-09,-20.62500071525642,0.0
opaque_07,0.85,0,1.8189608168942512e-09,-20.12500047683818,0.0
opaque_07,0.9,0,3.653482080241728e-08,-17.125,0.0
opaque_07,0.99,0,1.0261879630648829e-10,-23.0,0.0
opaque_08,0.5,0,2.8453347280241004e-08,-17.375,0.0
opaque_08,0.6,0,1.725782769012759e-08,-17.875,0.0
opaque_08,0.7,0,1.103256294163115e-09,-20.62499976158145,0.0
opaque_08,0.75,0,1.1861120010657661e-08,-18.25,0.0
opaque_08,0.8,0,3.3982678079468468e-09,-19.5,0.0
opaque_08,0.85,0,1.3440417781598893e-08,-18.124999403953723,0.0
opaque_08,0.9,0,1.8553914607279394e-07,-15.49999976158145,0.0
opaque_08,0.99,0,8.592169684589868e-10,-20.874999642372188,0.0
opaque_09,0.5,0,1.1032560311263802e-09,-20.625,0.0
opaque_09,0.6,0,4.36346275406913e-09,-19.249999880790718,0.0
opaque_09,0.7,0,1.125351754703302e-07,-15.999999880790718,0.0
opaque_09,0.75,0,1.4449802095675028e-07,-15.749999880790718,0.0
opaque_09,0.8,0,5.715003107773641e-07,-14.375000238418806,0.0
opaque_09,0.85,0,2.3355930333443423e-09,-19.875,0.0
opaque_09,0.9,0,2.998960815863541e-09,-19.625,0.0
opaque_09,0.99,0,6.348800075736417e-09,-18.875,0.0
opaque_10,0.5,0,5.043476486929152e-07,-14.499999523162955,0.0
opaque_10,0.6,0,2.998960815863541e-09,-19.625,0.0
opaque_10,0.7,0,1.4449802095675028e-07,-15.749999880790718,0.0
opaque_10,0.75,0,1.6052280526088547e-09,-20.25,0.0
opaque_10,0.8,0,1.7257827690002025e-08,-17.875000000007276,0.0
opaque_10,0.85,0,1.275190428866973e-07,-15.875000000007276,0.0
opaque_10,0.9,0,2.699578418220125e-07,-15.12499976158145,0.0
opaque_10,0.99,0,2.998960815863541e-09,-19.625,0.0
opaque_11,0.5,0,1.994729959312828e-06,-13.124999880792757,0.0
opaque_11,0.6,0,4.944450477491054e-09,-19.125,0.0
opaque_11,0.7,0,4.847368706035286e-11,-23.75,0.0
opaque_11,0.75,0,5.211412485172657e-10,-21.375,0.0
opaque_11,0.8,0,3.6534833868287154e-08,-17.124999642372188,0.0
opaque_11,0.85,0,1.9171715133907573e-10,-22.375,0.0
opaque_11,0.9,0,1.2098661162075573e-06,-13.62499964237304,0.0
opaque_11,0.99,0,1.493094675974231e-10,-22.625,0.0
opaque_12,0.5,0,5.043476486929152e-07,-14.499999523162955,0.0
opaque_12,0.6,0,4.363462233903899e-09,-19.25,0.0
opaque_12,0.7,0,4.6911638017642294e-08,-16.875,0.0
opaque_12,0.75,0,3.581747929000289e-10,-21.75,0.0
opaque_12,0.8,0,1.0467410419300657e-08,-18.374999165588633,0.0
opaque_12,0.85,0,3.850741907939403e-09,-19.375,0.0
opaque_12,0.9,0,3.850741907939403e-09,-19.375,0.0
opaque_12,0.99,0,1.1861120010657661e-08,-18.25,0.0
opaque_13,0.5,0,2.4616969512093895e-10,-22.125,0.0
opaque_13,0.6,0,4.1399375473943306e-08,-17.0,0.0
opaque_13,0.7,0,1.3440409770490404e-08,-18.125,0.0
opaque_13,0.75,0,8.764252675221401e-08,-16.249999403953723,0.0
opaque_13,0.8,0,8.764252675221401e-08,-16.249999403953723,0.0
opaque_13,0.85,0,3.160881453314576e-10,-21.875,0.0
opaque_13,0.9,0,2.699578418220125e-07,-15.12499976158145,0.0
opaque_13,0.99,0,6.825603724121504e-08,-16.499999880790718,0.0
opaque_14,0.5,0,1.6052284353250454e-09,-20.24999976158145,0.0
opaque_14,0.6,0,1.5229981328315362e-08,-17.999999880790718,0.0
opaque_14,0.7,0,3.224187017655921e-08,-17.249999880790718,0.0
opaque_14,0.75,0,9.736201464175726e-10,-20.749999880790718,0.0
opaque_14,0.8,0,9.931196877541357e-08,-16.124999642372188,0.0
opaque_14,0.85,0,2.998960815863541e-09,-19.625,0.0
opaque_14,0.9,0,9.736202624821247e-10,-20.74999976158145,0.0
opaque_14,0.99,0,2.5946094982091465e-11,-24.375,0.0
opaque_15,0.5,0,4.785094494835719e-06,-12.250000000011369,0.0
opaque_15,0.6,0,1.1253521571603582e-07,-15.999999523162955,0.0
opaque_15,0.7,0,1.5534971990199408e-06,-13.37500035762912,0.0
opaque_15,0.75,0,5.60279640614594e-09,-19.0,0.0
opaque_15,0.8,0,2.998960815863541e-09,-19.625,0.0
opaque_15,0.85,0,5.3157849718487075e-08,-16.75,0.0
opaque_15,0.9,0,1.2098659719807352e-06,-13.624999761582103,0.0
opaque_15,0.99,0,2.9023119851992187e-06,-12.750000000004093,0.0
opaque_16,0.5,0,1.2751905808907768e-07,-15.874999880790718,0.0
opaque_16,0.6,0,1.4166087846364157e-09,-20.375,0.0
opaque_16,0.7,0,1.9555683036644596e-08,-17.749999880790718,0.0
opaque_16,0.75,0,2.5109999906960648e-08,-17.499999642372188,0.0
opaque_16,0.8,0,1.5229981328315362e-08,-17.999999880790718,0.0
opaque_16,0.85,0,4.599055376537186e-10,-21.5,0.0
opaque_16,0.9,0,3.3982682130519364e-09,-19.499999880790718,0.0
opaque_16,0.99,0,9.422447062308101e-07,-13.874999880791279,0.0
opaque_17,0.5,0,2.3355930333443423e-09,-19.875,0.0
opaque_17,0.6,0,5.715002426492935e-07,-14.37500035762804,0.0
opaque_17,0.7,0,2.5109990926928157e-08,-17.5,0.0
opaque_17,0.75,0,1.8189612505429203e-09,-20.125000238433586,0.0
opaque_17,0.8,0,6.224144622520382e-11,-23.5,0.0
opaque_17,0.85,0,4.363462233903899e-09,-19.25,0.0
opaque_17,0.9,0,1.955568070542584e-08,-17.75,0.0
opaque_17,0.99,0,8.592166611791576e-10,-20.875,0.0
opaque_18,0.5,0,2.699579061849448e-07,-15.124999523162955,0.0
opaque_18,0.6,0,2.1024339116182104e-07,-15.37499976158145,0.0
opaque_18,0.7,0,1.553497384210785e-06,-13.375000238419943,0.0
opaque_18,0.75,0,2.5612819054209405e-06,-12.875000119213155,0.0
opaque_18,0.8,0,4.69116268309901e-08,-16.875000238462235,0.0
opaque_18,0.85,0,1.9555683036644596e-08,-17.749999880790718,0.0
opaque_18,0.9,0,7.582561326074025e-10,-20.999999880790718,0.0
opaque_18,0.99,0,1.9171715133907573e-10,-22.375,0.0
opaque_19,0.5,0,4.785095635679298e-06,-12.249999761594154,0.0
opaque_19,0.6,0,4.363462233903899e-09,-19.25,0.0
opaque_19,0.7,0,4.599057569537681e-10,-21.499999523162955,0.0
opaque_19,0.75,0,8.152022591607892e-09,-18.62499976158145,0.0
opaque_19,0.8,0,4.4508526417414716e-07,-14.624999523162955,0.0
opaque_19,0.85,0,4.944450477491054e-09,-19.125,0.0
opaque_19,0.9,0,2.3823696679343506e-07,-15.24999976158145,0.0
opaque_19,0.99,0,1.1861120010657661e-08,-18.25,0.0
